Alliance Party of Northern Ireland,#F6CB2F
British National Party,#2E3B74
Conservative and Unionist Party,#0087DC
Democratic Unionist Party,#D46A4C
Green Party,#528D6B
Green Party Northern Ireland,#8DC63F
Green Party of England and Wales,#6AB023
Independent Group for Change,#222221
Labour Party,#E4003B
Liberal Democrats,#FAA61A
Other,#DDDDDD
Plaid Cymru - the Party of Wales,#005B54
Reform UK,#12B6CF
Respect Party,#46801C
Scottish Green Party,#00B140
Scottish National Party,#FDF38E
Sinn Féin,#326760
Social Democratic and Labour Party,#2AA82C
Speaker,#FFFFFF
UK Independence Party,#70147A
UK Unionist Party,#660066
Ulster Unionist Party,#48A5EE
Veritas,#663399
No vote,#333333
